Rank,Name,Symbol,marketcap,price (USD),country
1,Sea (Garena),SE,71217561600,127.69,Singapore
2,DBS,DBSDF,69756116992,27.16,Singapore
3,OCBC Bank,O39.SI,43832288585,9.76,Singapore
4,UOB,U11.SI,40036228126,23.88,Singapore
5,Singtel,SNGNF,31328206848,1.84,Singapore
6,Wilmar,WLMIF,22097520640,3.51,Singapore
7,Grab Holdings,GRAB,20650817536,5.52,Singapore
8,Singapore Airlines,SINGF,11880456192,3.91,Singapore
9,CapitaLand Mall Trust,C38U.SI,10437178511,1.58,Singapore
10,ST Engineering,SJX.F,8962197208,2.8,Singapore
11,Ascendas Reit,A17U.SI,8746497889,2.08,Singapore
12,Keppel,BN4.SI,8135576835,4.47,Singapore
13,Flex,FLEX,7917307392,17.06,Singapore
14,Singapore Exchange,SPXCF,7716375040,7.22,Singapore
15,Great Eastern,G07.SI,7548959054,15.95,Singapore
16,Genting Singapore,G13.SI,6977621455,0.58,Singapore
17,BOC Aviation,2588.HK,6581370506,9.48,Singapore
18,Jardine Singapore,C07.SI,6461863479,16.35,Singapore
19,Mapletree Logistics Trust,M44U.SI,6276824457,1.31,Singapore
20,Mapletree Industrial Trust,ME8U.SI,5031327868,1.89,Singapore
21,City Developments,C09.SI,4848281533,5.35,Singapore
22,Olam,O32.SI,4712507336,1.28,Singapore
23,Mapletree Commercial Trust,N2IU.SI,4558914360,1.37,Singapore
24,UOL Group,U14.SI,4519743565,5.35,Singapore
25,Frasers Logistics &amp; Industrial Trust,BUOU.SI,3858957486,1.05,Singapore
26,SATS,S58.SI,3502696143,3.12,Singapore
27,Suntec REIT,T82U.SI,3456029137,1.22,Singapore
28,Sembcorp,U96.SI,3312788721,1.86,Singapore
29,Kulicke and Soffa Industries,KLIC,3267032832,52.44,Singapore
30,Keppel REIT,K71U.SI,3111130934,0.84,Singapore
31,Kenon Holdings,KEN,3053867520,56.68,Singapore
32,Mapletree North Asia Commercial Trust,RW0U.SI,2825148938,0.8,Singapore
33,NetLink Trust,CJLU.SI,2802796024,0.72,Singapore
34,United Industrial Corporation,U06.SI,2740681229,1.91,Singapore
35,ComfortDelGro,C52.SI,2362398200,1.09,Singapore
36,HPH Trust,HCTPF,2291019520,0.26,Singapore
37,TDCX,TDCX,2000026112,14,Singapore
38,Yanlord,Z25.SI,1675645872,0.87,Singapore
39,Karooooo,KARO,1020612480,32.98,Singapore
40,Triterras,TRIT,136441280,1.64,Singapore
41,Society Pass,SOPA,70812760,3.05,Singapore